	acc	loss	val_acc	val_loss
0	0.9234728176695909	0.8109089323330765	0.938624508258624	0.475081100830665
1	0.9402761320338653	0.44112581083483426	0.941435327896705	0.4133183852984355
2	0.9428205104550906	0.3861778934206506	0.9438065852874364	0.37694922708548034
3	0.9457565244406101	0.34289888140916563	0.9473708400359521	0.34167521007550067
4	0.9514430477411965	0.30215102811195405	0.9568945031899673	0.31097822319238616
5	0.9571208268633508	0.26950241331875785	0.9607231161533258	0.28025841877246516
6	0.9609130565220504	0.23778016919350073	0.9644439617792765	0.26386073323396536
7	0.9638734335946565	0.21387235492435094	0.9640986485358997	0.237903047257509
8	0.9672457576453751	0.19224876601441596	0.9691018272668888	0.21887830522580023
9	0.9697427813894022	0.17345665411652775	0.9702128774080521	0.20245764091228827
10	0.9719295592197884	0.15587048096494183	0.9715712984402974	0.18989205597302852
11	0.9735125711779914	0.14057025823197086	0.9722928016613691	0.18103318581214317
12	0.9757413438575627	0.12595479580500993	0.9740783443817725	0.17048468574499473
13	0.9779756955056563	0.11282535509602858	0.9754519468698746	0.16091175623811207
14	0.9790849561738496	0.10239798945299994	0.9768442077514453	0.1541127408353182
